,Total Household Income
0,480332
1,198235
2,82785
3,107589
4,189322
5,152883
6,198621
7,134961
8,171152
9,625753
10,147005
11,253130
12,101111
13,128214
14,91525
15,171742
16,95385
17,142843
18,88170
19,97018
20,123015
21,100900
22,153312
23,96814
24,91785
25,83600
26,84330
27,164830
28,87612
29,96862
30,65929
31,114998
32,217720
33,98650
34,169755
35,143785
36,105805
37,129066
38,154710
39,203675
40,186475
41,104457
42,119492
43,304598
44,824148
45,169790
46,132275
47,559202
48,111495
49,977025
50,272500
51,677321
52,205570
53,350740
54,206490
55,113020
56,740110
57,281236
58,100806
59,410190
60,730210
61,113852
62,132645
63,301423
64,143839
65,301240
66,117410
67,152913
68,86964
69,226761
70,153585
71,96855
72,264520
73,241065
74,121751
75,135071
76,239836
77,67755
78,148088
79,255226
80,175305
81,98132
82,144206
83,125505
84,67900
85,84369
86,121743
87,166080
88,372972
89,300324
90,168498
91,68425
92,151545
93,138688
94,96695
95,379622
96,147342
97,174440
98,223295
99,106805
100,101045
101,101814
102,109955
103,391100
104,111495
105,160114
106,145410
107,166080
108,149410
109,123308
110,280120
111,117005
112,114220
113,298126
114,485633
115,92782
116,136934
117,50561
118,109428
119,133765
120,128110
121,111815
122,92715
123,146650
124,293200
125,179704
126,152620
127,72175
128,105440
129,130495
130,130825
131,77635
132,111570
133,121160
134,96125
135,379828
136,146920
137,214700
138,239598
139,69635
140,116360
141,181498
142,148690
143,129800
144,163400
145,72120
146,259780
147,104905
148,63825
149,120090
150,301873
151,116643
152,183630
153,115855
154,164342
155,155626
156,65490
157,125396
158,145635
159,188475
160,107420
161,116400
162,164315
163,491010
164,113905
165,62255
166,98305
167,117793
168,329067
169,148580
170,164046
171,312610
172,134410
173,541874
174,125695
175,78480
176,163530
177,162480
178,151395
179,95975
180,77275
181,96370
182,1051758
183,143650
184,211703
185,101290
186,383617
187,119143
188,110848
189,131847
190,184738
191,115140
192,120690
193,79995
194,121986
195,134555
196,177364
197,41138
198,212782
199,242970
200,81836
201,133045
202,92955
203,248250
204,135597
205,141000
206,132053
207,173621
208,74843
209,180521
210,148243
211,211154
